dhs_cc,ctry_code,surv_id,file_type,phase,url
BD,BD,137,HH,4A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHH4AFL.zip&Tp=1&Ctry_Code=BD&surv_id=137&dm=1&dmode=nm
BD,BD,59,HR,31,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR31FL.zip&Tp=1&Ctry_Code=BD&surv_id=59&dm=1&dmode=nm
BD,BD,89,HR,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
BD,BD,135,HR,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR41FL.zip&Tp=1&Ctry_Code=BD&surv_id=135&dm=1&dmode=nm
BD,BD,236,HR,4J,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR4JFL.zip&Tp=1&Ctry_Code=BD&surv_id=236&dm=1&dmode=nm
BD,BD,287,HR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR51FL.zip&Tp=1&Ctry_Code=BD&surv_id=287&dm=1&dmode=nm
BD,BD,349,HR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR61FL.zip&Tp=1&Ctry_Code=BD&surv_id=349&dm=1&dmode=nm
BD,BD,461,HR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR72FL.zip&Tp=1&Ctry_Code=BD&surv_id=461&dm=1&dmode=nm
BD,BD,536,HR,7R,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR7RFL.zip&Tp=1&Ctry_Code=BD&surv_id=536&dm=1&dmode=nm
BD,BD,584,HR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHR81FL.zip&Tp=1&Ctry_Code=BD&surv_id=584&dm=1&dmode=nm
BD,BD,89,HW,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHW3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
BD,BD,135,HW,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHW41FL.zip&Tp=1&Ctry_Code=BD&surv_id=135&dm=1&dmode=nm
BD,BD,236,HW,4J,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDHW4JFL.zip&Tp=1&Ctry_Code=BD&surv_id=236&dm=1&dmode=nm
BD,BD,137,IQ,4A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIQ4AFL.zip&Tp=1&Ctry_Code=BD&surv_id=137&dm=1&dmode=nm
BD,BD,59,IR,31,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR31FL.zip&Tp=1&Ctry_Code=BD&surv_id=59&dm=1&dmode=nm
BD,BD,89,IR,3A,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR3AFL.zip&Tp=1&Ctry_Code=BD&surv_id=89&dm=1&dmode=nm
BD,BD,135,IR,41,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR41FL.zip&Tp=1&Ctry_Code=BD&surv_id=135&dm=1&dmode=nm
BD,BD,236,IR,4J,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR4JFL.zip&Tp=1&Ctry_Code=BD&surv_id=236&dm=1&dmode=nm
BD,BD,287,IR,51,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR51FL.zip&Tp=1&Ctry_Code=BD&surv_id=287&dm=1&dmode=nm
BD,BD,349,IR,61,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR61FL.zip&Tp=1&Ctry_Code=BD&surv_id=349&dm=1&dmode=nm
BD,BD,461,IR,72,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR72FL.zip&Tp=1&Ctry_Code=BD&surv_id=461&dm=1&dmode=nm
BD,BD,536,IR,7R,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR7RFL.zip&Tp=1&Ctry_Code=BD&surv_id=536&dm=1&dmode=nm
BD,BD,584,IR,81,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDIR81FL.zip&Tp=1&Ctry_Code=BD&surv_id=584&dm=1&dmode=nm
BD,BD,59,KR,31,https://www.dhsprogram.com/customcf/legacy/data/download_dataset.cfm?Filename=BDKR31FL.zip&Tp=1&Ctry_Code=BD&surv_id=59&dm=1&dmode=nm
